Key,Type,Content,Args,File,Line
Xaml_7fea6e,XAML,虚拟机,,./MainWindow.xaml,60
CS_b2f29b,CS,动态磁盘,,./Converters\DiskTypeToTextConverter.cs,14
CS_dc01bf,CS,固定磁盘,,./Converters\DiskTypeToTextConverter.cs,15
CS_936948,CS,差异磁盘,,./Converters\DiskTypeToTextConverter.cs,16
CS_e3446a,CS,光盘镜像,,./Converters\DiskTypeToTextConverter.cs,17
CS_58c6b9,CS,物理磁盘,,./Converters\DiskTypeToTextConverter.cs,18
CS_e80623,CS,物理光驱,,./Converters\DiskTypeToTextConverter.cs,19
CS_1622dc,CS,未知,,./Models\GPUInfo.cs,21
CS_73abb0,CS,未知路径,,./Models\GPUInfo.cs,37
CS_d07a63,CS,[{0}] 分区 {1} ({2:F1} GB),"DiskDisplayName,PartitionNumber,SizeInGb",./Models\PartitionInfo.cs,38
CS_7f3a55,CS,未连接,,./Models\VmNetworkAdapter.cs,86
CS_901650,CS,设置已更新,,./Services\HyperVNUMAService.cs,40
CS_a7bac2,CS,中文,,./Services\SettingsService.cs,105
CS_0ef241,CS,[物理磁盘] 正在锁定并剥离磁盘 {0}...,diskTarget.PhysicalDiskNumber,./Services\VmGPUService.cs,459
CS_08e340,CS,无法剥离磁盘：未在虚拟机配置中找到该磁盘。,,./Services\VmGPUService.cs,473
CS_3a7777,CS,[虚拟磁盘] 正在挂载: {0}...,Path.GetFileName(diskTarget.Path),./Services\VmGPUService.cs,487
CS_e22de1,CS,虚拟磁盘挂载失败。,,./Services\VmGPUService.cs,494
CS_026e84,CS,"正在分配临时盘符 (磁盘 {0}, 分区 {1})...","hostDiskNumber,partition.PartitionNumber",./Services\VmGPUService.cs,498
CS_f3c4af,CS,目标分区已开启 BitLocker 保护，请先关闭 BitLocker。,,./Services\VmGPUService.cs,526
CS_59f8aa,CS,安装中止：目标分区 ({0}) 不是有效的系统分区。,assignedDriveLetter,./Services\VmGPUService.cs,531
CS_1a4db3,CS,正在同步驱动文件...,,./Services\VmGPUService.cs,558
